format_start,format_end,sport,competition_type,competition_tier,competition_name,competition_structure,qualification_structure,division_name,organisation_name,association_name,clubs,clubs_including_qualifying_rounds,qualification_spots,entry_format,player_type,competition_format,venue_format,semis_venue_format,finals_venue_format,competition_playoffs,uneven_team_format,match_format,draw_format,add_draw_fromat,finals_format,finals_draw_format,finals_add_draw_fromat,score_try,score_conversion,score_drop_goal,score_penalty_goal,ranking_format,win,draw,loss,tiebreaker_title,promotion,tiebreaker_promotion,promotion_format,relegation,relegation_format
1900,1900,rugby_league,cup,1,Challenge Cup,six_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,62,62,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1901,1901,rugby_league,league,1,Northern Rugby Football Union Championship,divisions_with_county_split,none,Championship,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,0,none,none,2,test_match_worst_from_each_county
1901,1901,rugby_league,league,2,Northern Rugby Football Union Championship,divisions_with_county_split,none,Lancashire Senior Competition,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,1,none,test_match,1,test_match
1901,1901,rugby_league,league,2,Northern Rugby Football Union Championship,divisions_with_county_split,none,Yorkshire Senior Competition,Northern Rugby Football Union,Northern Rugby Football Union,24,24,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,1,none,test_match,1,test_match
1901,1901,rugby_league,cup,1,Challenge Cup,six_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,63,63,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1901,1901,rugby_league,league,1,South East Lancashire League,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,6,6,0,association_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1901,1906,rugby_league,league,1,South West Lancashire League,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,6,6,0,association_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1902,1903,rugby_league,league,1,Northern Rugby Football Union Championship,two_divisions,none,First Division,Northern Rugby Football Union,Northern Rugby Football Union,18,18,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,0,none,none,2,straight
1902,1902,rugby_league,league,2,Northern Rugby Football Union Championship,two_divisions,none,Second Division,Northern Rugby Football Union,Northern Rugby Football Union,18,18,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,2,none,straight,0,none
1902,1902,rugby_league,cup,1,Challenge Cup,six_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,59,59,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1903,1903,rugby_league,league,2,Northern Rugby Football Union Championship,two_divisions,none,Second Division,Northern Rugby Football Union,Northern Rugby Football Union,17,17,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,2,playoff,straight,0,none
1903,1903,rugby_league,cup,1,Challenge Cup,five_rounds,one_round_senior_exempt,,Northern Rugby Football Union,Northern Rugby Football Union,32,46,14,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1904,1904,rugby_league,league,1,Northern Rugby Football Union Championship,two_divisions,none,First Division,Northern Rugby Football Union,Northern Rugby Football Union,18,18,0,association_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,0,none,none,2,straight
1904,1904,rugby_league,league,2,Northern Rugby Football Union Championship,two_divisions,none,Second Division,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,association_membership,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,2,playoff,straight,0,none
1904,1904,rugby_league,cup,1,Challenge Cup,five_rounds,one_round_senior_exempt,,Northern Rugby Football Union,Northern Rugby Football Union,32,45,13,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1905,1905,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,31,31,0,association_membership,professional,double_round_robin_variable,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,championship_playoff,0,none,none,0,none
1905,1905,rugby_league,cup,1,Challenge Cup,five_rounds,one_round_senior_exempt,,Northern Rugby Football Union,Northern Rugby Football Union,32,46,14,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1905,1905,rugby_league,cup,1,Yorkshire Cup,four_rounds,one_round_senior_exempt,,Northern Rugby Football Union,Northern Rugby Football Union,16,20,4,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1905,1905,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1906,1906,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,26,26,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1906,1906,rugby_league,cup,1,Challenge Cup,five_rounds,one_round_senior_exempt,,Northern Rugby Football Union,Northern Rugby Football Union,32,42,10,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1906,1906,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1906,1906,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,15,15,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1907,1907,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,27,27,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1907,1914,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1907,1914,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Northern Rugby Football Union,Northern Rugby Football Union,12,12,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1907,1910,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,12,12,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1907,1909,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1907,1907,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1908,1908,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,31,31,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1908,1908,rugby_league,league,1,Welsh league,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,6,6,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1908,1908,rugby_league,cup,1,Challenge Cup,five_rounds,three_rounds_senior_exempt,,Northern Rugby Football Union,Northern Rugby Football Union,32,58,6,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1909,1910,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,28,28,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1909,1913,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1910,1910,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1911,1912,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1911,1914,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1911,1911,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,27,27,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1912,1912,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,26,26,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1913,1914,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1913,1914,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,25,25,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1918,1918,rugby_league,league,1,Yorkshire League,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,11,11,0,geography,professional,double_round_robin_variable,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1918,1918,rugby_league,league,1,Lancashire League,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,12,12,0,geography,professional,double_round_robin_variable,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1918,1918,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,11,11,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1918,1918,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,12,12,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1919,1920,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,25,25,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1919,1921,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1919,1920,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1919,1919,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,12,12,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1919,1920,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Northern Rugby Football Union,Northern Rugby Football Union,13,13,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1919,1921,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Northern Rugby Football Union,Northern Rugby Football Union,12,12,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1920,1920,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1921,1921,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,26,26,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1921,1921,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1922,1925,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,27,27,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1922,1930,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Rugby Football League,Rugby Football League,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1922,1924,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1922,1925,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1922,1926,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,14,14,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1922,1925,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,13,13,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1925,1934,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,15,15,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1926,1926,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,29,29,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1926,1926,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1926,1926,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,14,14,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1927,1927,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,28,28,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1927,1930,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1927,1930,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,13,13,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1927,1929,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,15,15,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1928,1928,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,29,29,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1929,1929,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,28,28,0,association_membership,professional,double_round_robin_variable,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points_percentage,2,1,0,none,0,none,none,0,none
1930,1934,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,28,28,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1930,1934,rugby_league,league,1,Yorkshire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,14,14,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1931,1931,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Rugby Football League,Rugby Football League,31,31,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1931,1934,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,13,13,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1931,1934,rugby_league,league,1,Lancashire League,single_division_counts_both,none,,Rugby Football League,Rugby Football League,14,14,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1932,1938,rugby_league,cup,1,Challenge Cup,five_rounds,none,,Rugby Football League,Rugby Football League,32,32,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1935,1936,rugby_league,league,1,Rugby Football League Championship,single_division,none,,Rugby Football League,Rugby Football League,30,30,0,association_membership,professional,double_round_robin,home_and_away,neutral,neutral,top_four,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,none,0,none,none,0,none
1935,1936,rugby_league,cup,1,Lancashire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,14,14,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,dummy_fixture_or_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1935,1937,rugby_league,cup,1,Yorkshire Cup,four_rounds,none,,Rugby Football League,Rugby Football League,16,16,0,league_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
