occupation,count,corrected_occupation
Teacher-Irish Literature,1,Teacher Irish Literature
Laundry Proprietress,1,Laundry Proprietress
Workhouse Steward,1,Workhouse Steward
S.C. and T. : G.P.O.,1,S.C. and T. : G.P.O.
Assistant in Hardware,1,Assistant in Hardware
Station Master M.G.W.R,1,Station Master M.G.W.R
? Housemaid Domestic Servant,1,? Housemaid Domestic Servant
Shopmaid,1,Shopmaid
Smith's Helper Unemployed,1,Smith's Helper Unemployed
Magistrate Vitry Surgeon,1,Magistrate Vitry Surgeon
General Labourer in Building Works,1,General Labourer in Building Works
Benchman Shoemaker,1,Benchman Shoemaker
Floatman in Distellery,1,Floatman in Distellery
Scholar Going to school,1,Scholar Going to school
Professor Classies and Marthan,1,Professor Classies and Marthan
Income Chiefly from Land and Shiels Institution Stillorgan,1,Income Chiefly from Land and Shiels Institution Stillorgan
London,1,London
Colonel Retired Royal Artillery,1,Colonel Retired Royal Artillery
Farmer and D. C,1,Farmer and D. C
L L.D. Dub. Clergyman Ch. of Ireland Rictor of Urglin,1,L L.D. Dub. Clergyman Ch. of Ireland Rictor of Urglin
Domestic Servant Labourer (in Public Houses),1,Domestic Servant Labourer in Public Houses
Shop Keeper Business Servant,1,Shop Keeper Business Servant
Land Agents Clark,1,Land Agents Clark
Railway Steam Raises,1,Railway Steam Raises
Worker in Pork Butchers,1,Worker in Pork Butchers
Clerk of Work Builder,1,Clerk of Work Builder
Foul-Plucker,1,Foul Plucker
Loan Bank Clerk,1,Loan Bank Clerk
Assist at Hous Work,1,Assist at Hous Work
Stone Mason Operative,1,Stone Mason Operative
Employed At Dairy Facotry,1,Employed At Dairy Facotry
Office Writer and Translator Unemployed,1,Office Writer and Translator Unemployed
Coast in Royal Irish County,1,Coast in Royal Irish County
Out Fitter Clother,1,Out Fitter Clother
Assisting in Genrl House Work,1,Assisting in Genrl House Work
Letter Carriers,1,Letter Carriers
Bottlewashing,1,Bottlewashing
Knitting and Washing,1,Knitting and Washing
Batting Woman,1,Batting Woman
Roman Catholic Cursted,1,Roman Catholic Cursted
Packer at Factory,1,Packer at Factory
Clerk (Co Council),1,Clerk Co Council
Professor (B.A.R.U.S) Languages and Mathematics,1,Professor B.A.R.U.S Languages and Mathematics
General Serv. Domest.,1,General Serv. Domest.
(Charwoman),1,Charwoman
?arr Women,1,?arr Women
Stone Dreller,1,Stone Dreller
Marien Dialer,1,Marien Dialer
Tunner Out Ca,1,Tunner Out Ca
Corporation Waterman,1,Corporation Waterman
Clerk in the Shirt Trade,1,Clerk in the Shirt Trade
Servant (Agril),1,Servant Agril
A Agricultural Labourer,1,A Agricultural Labourer
Housekeeper. Home,1,Housekeeper. Home
Super. Linger Machine,1,Super. Linger Machine
Genrl Servan Domestic,1,Genrl Servan Domestic
Labrour's Wife,1,Labrour's Wife
Const of the R I C,1,Const of the R I C
Mill Worker Linen Finisher,1,Mill Worker Linen Finisher
Local Govt. Inspector,1,Local Govt. Inspector
Graduate B.A.R.U.I.,1,Graduate B.A.R.U.I.
Minister-A.B and D D.,1,Minister A.B and D D.
Undergraduate-R.U.I.,1,Undergraduate R.U.I.
Ship Broking Cook,1,Ship Broking Cook
Assists Her Mother,1,Assists Her Mother
The Baby,1,The Baby
Torment the House,1,Torment the House
Minister-D.D.,1,Minister D.D.
Ironwork Draughtsman,1,Ironwork Draughtsman
Magistrate Wine Merchant,1,Magistrate Wine Merchant
Teacher Secondary,1,Teacher Secondary
M D T C D Medical Gen Practitioner,1,M D T C D Medical Gen Practitioner
Grocer and Provm Merchant,1,Grocer and Provm Merchant
At Fancy Work and Dressmaker,1,At Fancy Work and Dressmaker
Flax Mill Scutcher,1,Flax Mill Scutcher
No Profession-Land and Divd Owner and C,1,No Profession Land and Divd Owner and C
Cook Maid (Domes Servt),1,Cook Maid Domes Servt
No Profession Land Owner Divd Holder,1,No Profession Land Owner Divd Holder
Milesman to Rly and G's,1,Milesman to Rly and G's
Foreman of Gas Works,1,Foreman of Gas Works
"Land, Dividends Annuity",1,"Land, Dividends Annuity"
General Practioner-Doctor of Medicine Royal University of Ireland-Fellow Royal Collage of Surgeon Dip in Staintary Science R W Ireland Lic Apothecuries Hall Ireland,1,General Practioner Doctor of Medicine Royal University of Ireland Fellow Royal Collage of Surgeon Dip in Staintary Science R W Ireland Lic Apothecuries Hall Ireland
2nd Cook Domestic Servant,1,2nd Cook Domestic Servant
Clerk of Netty Sessions,1,Clerk of Netty Sessions
1st Class Officer of Ireland Roscom(Excise),1,1st Class Officer of Ireland RoscomExcise
Gas Engineer Genl Manager and Priv of Gas Co T.C.H ?,1,Gas Engineer Genl Manager and Priv of Gas Co T.C.H ?
Gas Engineer and Draughtsman,1,Gas Engineer and Draughtsman
Assist Lightkeeper,1,Assist Lightkeeper
Arcluteel,1,Arcluteel
Pensioner Sgt. Major,1,Pensioner Sgt. Major
Shipyard Laborour,1,Shipyard Laborour
Mill Drawer Worker,1,Mill Drawer Worker
Giver Inn,1,Giver Inn
Butling Enginneer,1,Butling Enginneer
Retired Sub Post Master,1,Retired Sub Post Master
Members of Religions,1,Members of Religions
Spinster in Linen Factory Unemployed,1,Spinster in Linen Factory Unemployed
Bass Maker for Tobacco Manufacturer,1,Bass Maker for Tobacco Manufacturer
Cath Splitter,1,Cath Splitter
Bleach Linen Labourer,1,Bleach Linen Labourer
Domestic Servant - Dairymaid,1,Domestic Servant Dairymaid
Farmer Cambric,1,Farmer Cambric
Brass Finishing Apprentice,1,Brass Finishing Apprentice
Linen Viewer,1,Linen Viewer
Bass Maker,1,Bass Maker
White Servor,1,White Servor
Yard and Store Man,1,Yard and Store Man
M.D. and F.R.M.I. Prof of Medicine R.C.G Physician to Galway Hospital,1,M.D. and F.R.M.I. Prof of Medicine R.C.G Physician to Galway Hospital
Kitchenmaid Dom St,1,Kitchenmaid Dom St
Heads Son,1,Heads Son
Regestration Agent,1,Regestration Agent
Waler,1,Waler
Manager of Book Depot,1,Manager of Book Depot
Bk-Smith,1,Bk Smith
Linnen Finish,1,Linnen Finish
Tailor- Ess,1,Tailor Ess
Mechanic in Gass Works,1,Mechanic in Gass Works
Loser in Spinning Mill,1,Loser in Spinning Mill
Grocery (Appd too),1,Grocery Appd too
Stoker in Dye and Bleach Works,1,Stoker in Dye and Bleach Works
Finisher in Woollen Factory,1,Finisher in Woollen Factory
Faster,1,Faster
Houseceeper,1,Houseceeper
Clerk Biscuit Factory,1,Clerk Biscuit Factory
Dealer Stick Breaker,1,Dealer Stick Breaker
P W Labourer,1,P W Labourer
Apprentice Grain Trade,1,Apprentice Grain Trade
Farrier R S S,1,Farrier R S S
Agricultural Caretaker,1,Agricultural Caretaker
Lien Sweeper,1,Lien Sweeper
Linen Fieldman Bleacher,1,Linen Fieldman Bleacher
Apprentice Clerk Rent Agent,1,Apprentice Clerk Rent Agent
Superintendent of Agents,1,Superintendent of Agents
Car Propritier,1,Car Propritier
L R C S I K Q C P. Surgeon and Physician,1,L R C S I K Q C P. Surgeon and Physician
Machant Tailer,1,Machant Tailer
Fishing Tackle Manufacture,1,Fishing Tackle Manufacture
Farmer and Retired R.I.C Pensioner,1,Farmer and Retired R.I.C Pensioner
Private Soldier Connaught Rangers,1,Private Soldier Connaught Rangers
Superintentant of Insurance Agent,1,Superintentant of Insurance Agent
Cambrick Clerk,1,Cambrick Clerk
"Officer Inland Revenue, 2 Class",1,"Officer Inland Revenue, 2 Class"
Nat. Elem. Sch. Teacher,1,Nat. Elem. Sch. Teacher
Retired Joiner,1,Retired Joiner
Delivering Rural Post,1,Delivering Rural Post
Smith Nail Maker,1,Smith Nail Maker
Gowing to Schol,1,Gowing to Schol
Civil Engineer County Surveyor,1,Civil Engineer County Surveyor
Clerk in Weigh House,1,Clerk in Weigh House
Keeping House Property Bank Clerk,1,Keeping House Property Bank Clerk
Flax Sorters Clerk,1,Flax Sorters Clerk
Linen and Cotton Beetler,1,Linen and Cotton Beetler
Preparer Spinning (Flax Factory,1,Preparer Spinning Flax Factory
Parlourmaid Dom. Ser.,1,Parlourmaid Dom. Ser.
Started School,1,Started School
Licensed Victualer,1,Licensed Victualer
Cattle Grocer,1,Cattle Grocer
D Lberer,1,D Lberer
Crochet - Worker,1,Crochet Worker
Waiter Pub House,1,Waiter Pub House
Chequer,1,Chequer
Contractors House Keeper,1,Contractors House Keeper
Const Wife R I C,1,Const Wife R I C
Linen Business Assistant,1,Linen Business Assistant
"Laundress, Domestic Serv",1,"Laundress, Domestic Serv"
Attendant Asyluem,1,Attendant Asyluem
Rate Collection Farmer,1,Rate Collection Farmer
Gate Keeper G.S.W.R,1,Gate Keeper G.S.W.R
Canon and P P,1,Canon and P P
Butter and Egg Mercant,1,Butter and Egg Mercant
General H Worker,1,General H Worker
Unemployed Hotel Porter,1,Unemployed Hotel Porter
Form Clerk,1,Form Clerk
Com Traveller (Biscuit Mill),1,Com Traveller Biscuit Mill
Head Waiter Domestic,1,Head Waiter Domestic
Several Division Clerk Education Officer Dublin,1,Several Division Clerk Education Officer Dublin
Commissions Clerk Port and Dock Office Dublin,1,Commissions Clerk Port and Dock Office Dublin
Surgeon and Physician Lie Fac Phys and Surgon Glas also L A C I,1,Surgeon and Physician Lie Fac Phys and Surgon Glas also L A C I
Produce Insurance Agent- (Wine),1,Produce Insurance Agent Wine
Bay Clark Agricultural Office Dublin,1,Bay Clark Agricultural Office Dublin
Publisher's Manager,1,Publisher's Manager
Married Inptendt,1,Married Inptendt
Watchmaker Jewells,1,Watchmaker Jewells
Electric Motor-man D K Tramary Co y,1,Electric Motor man D K Tramary Co y
Dist: Inspector. R.I.Constabulary,1,Dist: Inspector. R.I.Constabulary
La H D and Sur,1,La H D and Sur
Retired Locomatic Engine Driver,1,Retired Locomatic Engine Driver
Sherriffs Bailiffe,1,Sherriffs Bailiffe
Market Huxter,1,Market Huxter
Custom House Officer and Superannuated,1,Custom House Officer and Superannuated
Engineer W L.S.S Ly?,1,Engineer W L.S.S Ly?
Wholesale Stationery Book - Keeper (Drapery),1,Wholesale Stationery Book Keeper Drapery
Pork Curer Provision Labourer,1,Pork Curer Provision Labourer
House Keeper Now Visitor,1,House Keeper Now Visitor
Aprentice French Polisher,1,Aprentice French Polisher
Farmer and Fishdealer,1,Farmer and Fishdealer
Church Apprentice,1,Church Apprentice
Forewoman in Linen Business,1,Forewoman in Linen Business
Sorting Clerk-Post Office,1,Sorting Clerk Post Office
Sergt in the R.I.C,1,Sergt in the R.I.C
Ladies Dressgoods Buyer,1,Ladies Dressgoods Buyer
Foreman in Public Baths,1,Foreman in Public Baths
Rent Insurance and Commission Agent,1,Rent Insurance and Commission Agent
Retired Own House Property,1,Retired Own House Property
Thread Draver,1,Thread Draver
Designer - Master,1,Designer Master
Assit in Book Stall,1,Assit in Book Stall
Iron Moulders Labourer,1,Iron Moulders Labourer
Pte Royal Dublin Frs,1,Pte Royal Dublin Frs
Spirit Store Bar Man,1,Spirit Store Bar Man
I P Income from Dividends,1,I P Income from Dividends
Distellers Labourer,1,Distellers Labourer
Undergraduate of Royal Univ. Ireland,1,Undergraduate of Royal Univ. Ireland
Minister of Reformed Pres Church,1,Minister of Reformed Pres Church
Stoker Gas,1,Stoker Gas
Brusk maker,1,Brusk maker
Army Pensioner Devonshire Regiment,1,Army Pensioner Devonshire Regiment
Assistant Registrar of Deeds for Ireland,1,Assistant Registrar of Deeds for Ireland
Commission Agent (Whiskey and Wine),1,Commission Agent Whiskey and Wine
Commercial Clerk in Wine Business,1,Commercial Clerk in Wine Business
Attending Royal Acdemy of Music,1,Attending Royal Acdemy of Music
Domestic Servant Kitchen Porter,1,Domestic Servant Kitchen Porter
Fitter of Machines,1,Fitter of Machines
Porter Wine Store,1,Porter Wine Store
No Oppn,1,No Oppn
Attending of School,1,Attending of School
Living on her money,1,Living on her money
Retired Examiniry Officer of Customs,1,Retired Examiniry Officer of Customs
Dublin Corporation Inquiry Officer Industrial School,1,Dublin Corporation Inquiry Officer Industrial School
None Next Birthday,1,None Next Birthday
Foreman Moulder,1,Foreman Moulder
Coach Maker at works,1,Coach Maker at works
Shopware Wholesale Grocers,1,Shopware Wholesale Grocers
(General) Servant Domestic,1,General Domestic Servant
Domestic Servant Nurserymaid,1,Domestic Servant Nurserymaid
Headge Carpenter,1,Headge Carpenter
Employed in Cutter Factory (No Calling),1,Employed in Cutter Factory No Calling
Engrance Student,1,Engrance Student
Draught Man Student,1,Draught Man Student
Agent Paper and C,1,Agent Paper and C
Porting Clerk G.P.O.,1,Porting Clerk G.P.O.
Shopman (Wallpaper),1,Shopman Wallpaper
Tin Box Maker,1,Tin Box Maker
Cook Domestic Serrnt,1,Cook Domestic Serrnt
Suprintendent and Secretory,1,Suprintendent and Secretory
Lodg Superintandent,1,Lodg Superintandent
Apothecary Apothecaras Hall Dublin,1,Apothecary Apothecaras Hall Dublin
Teaching in School,1,Teaching in School
Post Man Shronowen,1,Post Man Shronowen
Electrecion,1,Electrecion
Cook Domestic Servt Unemployed,1,Cook Domestic Servt Unemployed
Auctioneer Hotel Propy Merchant and Draper,1,Auctioneer Hotel Propy Merchant and Draper
Railway Official (Clerk in Loco. Dept),1,Railway Official Clerk in Loco. Dept
Weavers Winder,1,Weavers Winder
Toll Clark,1,Toll Clark
Retired Shipper,1,Retired Shipper
Parish Priest and Canon of the Catholic Cathedral St Marys Cork,1,Parish Priest and Canon of the Catholic Cathedral St Marys Cork
Shoe Fitting,1,Shoe Fitting
Monitor NS,1,Monitor NS
Shop Publican Keeper,1,Shop Publican Keeper
Knotter,1,Knotter
Labour Jam Manufactory,1,Labour Jam Manufactory
Pason Service Pensioner,1,Pason Service Pensioner
Way Master in Flour Mill,1,Way Master in Flour Mill
Labourer But Not Constant,1,Labourer But Not Constant
Superannuated Officer Maid Branch Ireland Revenue,1,Superannuated Officer Maid Branch Ireland Revenue
Car Man Unemployed,1,Car Man Unemployed
Shoop Keeper Grocery,1,Shoop Keeper Grocery
John School,1,John School
Weaver Worsted,1,Weaver Worsted
Winder's in Tweed Factory,1,Winder's in Tweed Factory
Parlour Maid Dome Servt,1,Parlour Maid Dome Servt
Kitchen Maid - Domestic Svt,1,Kitchen Maid Domestic Svt
Tinner Sower,1,Tinner Sower
A. Farmer's Son,1,A. Farmer's Son
Monitress. N. S.,1,Monitress. N. S.
Sewed Machine Worker,1,Sewed Machine Worker
Engindriver Milk Factory,1,Engindriver Milk Factory
Nurse-Housemaid-Domestic Servt,1,Nurse Housemaid Domestic Servt
House Knitter,1,House Knitter
In Printing Ofice,1,In Printing Ofice
Good's Clerk,1,Good's Clerk
Groom-D Servant,1,Groom D Servant
Tineper,1,Tineper
A Pensr and Cooper,1,A Pensr and Cooper
N Land Lady Income from Houses,1,N Land Lady Income from Houses
Carpenter and Insurance Agent,1,Carpenter and Insurance Agent
Army Pensioner Lft Con Sergt Derbyshire Regt Infantry,1,Army Pensioner Lft Con Sergt Derbyshire Regt Infantry
Cab Driver-Master,1,Cab Driver Master
Unemploy Nurse Domestic,1,Unemploy Nurse Domestic
Labourer Late Cold Stream Guards,1,Labourer Late Cold Stream Guards
Teacher School National,1,Teacher School National
Laborrer,1,Laborrer
Draper and Hardware Mcht,1,Draper and Hardware Mcht
(Canon) Roman Catholic Clergyman,1,Canon Roman Catholic Clergyman
urgeon Assist,1,urgeon Assist
Farmer and Currier,1,Farmer and Currier
Gravel Contractor,1,Gravel Contractor
Leather Merchant Clerk,1,Leather Merchant Clerk
Sales woman,1,Sales woman
Shoesmaker,1,Shoesmaker
Tea Merchant Grocer,1,Tea Merchant Grocer
Clerk in Grocery Busines,1,Clerk in Grocery Busines
1st of Second Class National Schl. Teacher,1,1st of Second Class National Schl. Teacher
Stable Bay. V R,1,Stable Bay. V R
Naval Pensionar,1,Naval Pensionar
Farm Labiours,1,Farm Labiours
Pensioner was Sergt in the Royal Artillery,1,Pensioner was Sergt in the Royal Artillery
Justice of Peace and Landed Proprietor,1,Justice of Peace and Landed Proprietor
Lieut XIII Hursan Active List,1,Lieut XIII Hursan Active List
Fam Laborer,1,Fam Laborer
Stoho Man,1,Stoho Man
Division Officer Ireland Revenue Dept. Excise Branch Retired,1,Division Officer Ireland Revenue Dept. Excise Branch Retired
Confictiner,1,Confictiner
Hhouse Keeper,1,Hhouse Keeper
Nurse-Domest Servant,1,Nurse Domest Servant
J.P. Cocork,1,J.P. Cocork
Telephone Repairer,1,Telephone Repairer
Statistician Estate Duty Office Dublin,1,Statistician Estate Duty Office Dublin
General Laubrour,1,General Laubrour
Milesman on G. S. W. R,1,Milesman on G. S. W. R
"Second Division, C.S.",1,"Second Division, C.S."
Engine Drive at Creamery,1,Engine Drive at Creamery
Apprentice Boot and Shoe Making,1,Apprentice Boot and Shoe Making
Garedner Domestic Serv,1,Garedner Domestic Serv
Licentiate in Dinisity R.C. Curate,1,Licentiate in Dinisity R.C. Curate
Caretaker-Land and Wood,1,Caretaker Land and Wood
Law Setter,1,Law Setter
Steaniship Agent,1,Steaniship Agent
Packer or Doffer,1,Packer or Doffer
Army Pensioner 18th Regt Infintery,1,Army Pensioner 18th Regt Infintery
Farm Labouour,1,Farm Labouour
Nash Clerk,1,Nash Clerk
Sextus R.I.C,1,Sextus R.I.C
Surveyor and C.E.,1,Surveyor and C.E.
Laundress-Dom Ser,1,Laundress Dom Ser
Lodging House Keeping,1,Lodging House Keeping
Gentterman Rider,1,Gentterman Rider
"Relieving Officer and San, Sub Officer",1,"Relieving Officer and San, Sub Officer"
Bolier Landry Grocer,1,Bolier Landry Grocer
Tailors-Son,1,Tailors Son
General Labeourer,1,General Labeourer
Rural Post Massengers,1,Rural Post Massengers
A Pensioner,1,A Pensioner
Gross,1,Gross
Fetting and Machanic Machine,1,Fetting and Machanic Machine
Small Farmer and Army Pensioner,1,Small Farmer and Army Pensioner
Branch-Royal Engineers,1,Branch Royal Engineers
Tailors-Daughter,1,Tailor's Daughter
Architectural Pupil,1,Architectural Pupil
Army Pensioners Widow,1,Army Pensioners Widow
Farmer. Labourer,1,Farmer. Labourer
Physician and Surgeon (Union Dubl),1,Physician and Surgeon Union Dubl
Master Shomaker,1,Master Shomaker
Melon Servant and Coachman,1,Melon Servant and Coachman
Carponenter-Apprentice,1,Carponenter Apprentice
Dpy Assistant,1,Dpy Assistant
Coach Maker Factory,1,Coach Maker Factory
Carponenter-Master,1,Carponenter Master
Kitchenboy,1,Kitchenboy
Trained Nurse Lady Superintendent,1,Trained Nurse Lady Superintendent
Cook and Ho Maid Domestic Servant,1,Cook and Ho Maid Domestic Servant
Linen Spoll Winder,1,Linen Spoll Winder
Sample Maker (Linen Business),1,Sample Maker Linen Business
Braker in Mill,1,Braker in Mill
Cutter Warehouseman,1,Cutter Warehouseman
Traveller for Credit Drapery,1,Traveller for Credit Drapery
Apprentice Milling Business,1,Apprentice Milling Business
Commercial Traveller Tea and C,1,Commercial Traveller Tea and C
Civil Servant (Second Divisions Post Office Dublin),1,Civil Servant Second Divisions Post Office Dublin
Clark in Hold Agents (Out of Employment),1,Clark in Hold Agents Out of Employment
District Surveyor R.I.Civil Staff,1,District Surveyor R.I.Civil Staff
Apprentice to Printing Compositor,1,Apprentice to Printing Compositor
D Servant Gardener,1,D Servant Gardener
Clerk in Co-Operative,1,Clerk in Co Operative
Pig Mayer,1,Pig Mayer
"Income from Land, Dividends",1,"Income from Land, Dividends"
Milliner Operative,1,Milliner Operative
R.C Clergyman CC,1,R.C Clergyman CC
Nitter at Factery,1,Nitter at Factery
Sohoe Maker,1,Sohoe Maker
Slater a Plasterer,1,Slater a Plasterer
Light Keeper T.L,1,Light Keeper T.L
Agricultral Labourers Wife,1,Agricultral Labourers Wife
School Teacher English and French,1,School Teacher English and French
Apprences to Dressmaking,1,Apprences to Dressmaking
Manager of Printing Works,1,Manager of Printing Works
Australian Police Pensioner,1,Australian Police Pensioner
County Servyor,1,County Servyor
Marian A B,1,Marian A B
Eldest Son of a Baron Honbl J.P,1,Eldest Son of a Baron Honbl J.P
P.O Clk,1,P.O Clk
Lady Honourable,1,Lady Honourable
Daughter of Eldest Son of Baron,1,Daughter of Eldest Son of Baron
Ex Sergt. R I C. Pensioner,1,Ex Sergt. R I C. Pensioner
Publican and (Farmer),1,Publican and Farmer
Assistant Posmistress,1,Assistant Posmistress
Domestic Servt Out of Employment,1,Domestic Servt Out of Employment
In Charge of Female Lunatics,1,In Charge of Female Lunatics
Unemployed Labourery not Working,1,Unemployed Labourery not Working
Scholar at Hom,1,Scholar at Hom
Miller and Publican,1,Miller and Publican
Tobacco Factory Servant Working,1,Tobacco Factory Servant Working
Not Working at Hom,1,Not Working at Hom
Pension and Cardriver,1,Pension and Cardriver
Daughter of a Baronet,1,Daughter of a Baronet
Pensioned Sergt Arty,1,Pensioned Sergt Arty
Scholar Not Working at Hom,1,Scholar Not Working at Hom
District Inspr R I C,1,District Inspr R I C
Student Vet College,1,Student Vet College
Capl British Honduras Constabulary,1,Capl British Honduras Constabulary
Income from money invested Mastery of Laws,1,Income from money invested Mastery of Laws
Math Teacher MA (Dub),1,Math Teacher MA Dub
Lending Masons Labourer,1,Lending Masons Labourer
Bank of Ireland Pensioner,1,Bank of Ireland Pensioner
Secretary Clerk Ry,1,Secretary Clerk Ry
Ship Smith at Factory,1,Ship Smith at Factory
Wife Miller,1,Wife Miller
Clerk (Land Agent),1,Clerk Land Agent
Sea faring,1,Sea faring
General Labourer and Militia Man,1,General Labourer and Militia Man
"Seeds, Warehouseman",1,"Seeds, Warehouseman"
Dealer in soft goods Jewllery,1,Dealer in soft goods Jewllery
General Grocer and Hardware Merchant,1,General Grocer and Hardware Merchant
Traveller ?,1,Traveller ?
Seed and Tea in W. Merchant,1,Seed and Tea in W. Merchant
Dental Secretary,1,Dental Secretary
Commerical Clerk Chemical,1,Commerical Clerk Chemical
Master Maniner H M Yard Craft,1,Master Maniner H M Yard Craft
Water Keeper,1,Water Keeper
Minister of Eastern Reformed Presbyterian Church,1,Minister of Eastern Reformed Presbyterian Church
Civil Service Student (Methodist College),1,Civil Service Student Methodist College
Barrister-at Law,1,Barrister at Law
Publice Carter,1,Publice Carter
Market Gardener General Labourer,1,Market Gardener General Labourer
Apprentice Litho Artist,1,Apprentice Litho Artist
Stationer and Printed (Master),1,Stationer and Printed Master
Manager Hide Business,1,Manager Hide Business
J P Cog Boro of Belfast a for Coy of Down Merchant,1,J P Cog Boro of Belfast a for Coy of Down Merchant
Bookeeper Draterfoundry,1,Bookeeper Draterfoundry
Clerk Iron Fundry,1,Clerk Iron Fundry
Income from House Property No Profession,1,Income from House Property No Profession
Machineman Iron Laundry,1,Machineman Iron Laundry
Leiving With Family,1,Leiving With Family
Machine Woodworker,1,Machine Woodworker
Apprentice Paper Ruler,1,Apprentice Paper Ruler
Berling St School,1,Berling St School
P.S. Flesher,1,P.S. Flesher
Commercial Clerk (Belfast Paper Work),1,Commercial Clerk Belfast Paper Work
Apprentice Solicitor Clerk,1,Apprentice Solicitor Clerk
Hemstich Machinist,1,Hemstich Machinist
Clark Genr,1,Clark Genr
Electro-Plate Polisher,1,Electro Plate Polisher
Electrictal Engineer,1,Electrictal Engineer
Labourer to (Blacksmith),1,Labourer to Blacksmith
Printer L P,1,Printer L P
Printer Plumer,1,Printer Plumer
Wood-Turner and Confectioner,1,Wood Turner and Confectioner
Apprentice Enginer in Factory,1,Apprentice Enginer in Factory
Letter Press Machine Feeder,1,Letter Press Machine Feeder
Machine Flutes in Thread Factory,1,Machine Flutes in Thread Factory
Thread Cooper in Thread Factory,1,Thread Cooper in Thread Factory
Weigher of Thread in Thread Factory,1,Weigher of Thread in Thread Factory
Holder: Up,1,Holder: Up
Labourer Mitchell and Co of Belf Ltd Tomb St,1,Labourer Mitchell and Co of Belf Ltd Tomb St
Loom Mechanic in Factory,1,Loom Mechanic in Factory
Sub Inspector RSS B. A. T. C. D.,1,Sub Inspector RSS B. A. T. C. D.
Printing-Overseer,1,Printing Overseer
Stock Room Clerk,1,Stock Room Clerk
Secretary Army Setep ?less Soe,1,Secretary Army Setep ?less Soe
Undergraduates R.U.I.,1,Undergraduates R.U.I.
Head Railway,1,Head Railway
Retd Farm Servant,1,Retd Farm Servant
Civil Service Postoffice Sorting Clerk and Tlegraphist,1,Civil Service Postoffice Sorting Clerk and Tlegraphist
Seamstress and Letter Cassier,1,Seamstress and Letter Cassier
Clerk Wvg Co Unemployed,1,Clerk Wvg Co Unemployed
Painter (Unemployed),1,Painter Unemployed
Stitching Machine Mechanic,1,Stitching Machine Mechanic
Layer Mill,1,Layer Mill
Undergraduates R.N.I.,1,Undergraduates R.N.I.
(Retired Commercial Traveller),1,Retired Commercial Traveller
General Washerwoman,1,General Washerwoman
Steam Belt Maker,1,Steam Belt Maker
Employed Sweet Factory,1,Employed Sweet Factory
Cooper and Labourer,1,Cooper and Labourer
Stone Mason and Farmers,1,Stone Mason and Farmers
Dealer and Pedlar,1,Dealer and Pedlar
Sub Inspector Nat. Schools,1,Sub Inspector Nat. Schools
"General Practitioner Doctor and Medicine and Surgeon B. A, T. C. D., M. D., M. CH., B. R. O., R. M. I.",1,"General Practitioner Doctor and Medicine and Surgeon B. A, T. C. D., M. D., M. CH., B. R. O., R. M. I."
"Sorter, Post Office",1,"Sorter, Post Office"
Charwoman's Infant,1,Charwoman's Infant
Superannuated from Prison Service,1,Superannuated from Prison Service
Wood - Turner,1,Wood Turner
Cresorn Works,1,Cresorn Works
National School Mistrers,1,National School Mistrers
Sawyre,1,Sawyre
Neverfit for Occupation,1,Neverfit for Occupation
School Teacher's Daughter,1,School Teacher's Daughter
Secretery,1,Secretery
Fire Brigade Officer,1,Fire Brigade Officer
Winder for Looms in Factory (Woolen),1,Winder for Looms in Factory Woolen
Flax Spinning Mill Hand,1,Flax Spinning Mill Hand
Codlar,1,Codlar
Sorter P.O,1,Sorter P.O
Briotlayer,1,Briotlayer
Labourer Carpenter Asst,1,Labourer Carpenter Asst
Lohitener,1,Lohitener
Buster,1,Buster
Painder,1,Painder
Aslyum Warder,1,Aslyum Warder
Student General,1,Student General
Major Army Pay Department,1,Major Army Pay Department
Clerk in Foreign Office,1,Clerk in Foreign Office
Gate Porter Mullingar Dist Lunatic Asylum,1,Gate Porter Mullingar Dist Lunatic Asylum
Cooper not at school,1,Cooper not at school
Bugler Rifle Bde,1,Bugler Rifle Bde
Widow of Kucco Plasterer,1,Widow of Kucco Plasterer
Widow of Newspaper Proprietor,1,Widow of Newspaper Proprietor
Architects Assist,1,Architects Assist
Mottress Maker,1,Mottress Maker
Bouler's Makers,1,Bouler's Makers
Ship's Fire Man,1,Ship's Fire Man
Silver Burnishes,1,Silver Burnishes
Drapers Asitant,1,Drapers Asitant
Waistcost Maker,1,Waistcost Maker
Half Sister of Above,1,Half Sister of Above
Drugt Assistant,1,Drugt Assistant
Child of Fireman,1,Child of Fireman
Labourer in Works,1,Labourer in Works
National School Teachers Son,1,National School Teachers Son
Child of Painter,1,Child of Painter
Errarid Girl,1,Errarid Girl
Captain Barque,1,Captain Barque
Work House Van Driver,1,Work House Van Driver
Farmers Son and Clerk,1,Farmers Son and Clerk
Child of No 147,1,Child of No 147
Engine Driver and Fitter,1,Engine Driver and Fitter
Apprentice to Mill Wright,1,Apprentice to Mill Wright
Worker in Distillery,1,Worker in Distillery
School Merchant,1,School Merchant
House Driver,1,House Driver
Palet,1,Palet
Farm Labs Daughter,1,Farm Labs Daughter
Farmer and Pensioner from Prison Service,1,Farmer and Pensioner from Prison Service
Masters House Keeper,1,Masters House Keeper
Hatters Labourer,1,Hatters Labourer
Shoemaker's Widow Housekeeper,1,Shoemaker's Widow Housekeeper
Bacon Turner,1,Bacon Turner
Black Smiths-Wife,1,Black Smiths Wife
Labourers Asst ?,1,Labourers Asst ?
Selling Long Books,1,Selling Long Books
