name,gender,frequency,frequency_ew_new,frequency_ni,frequency_scot,frequency_us_vic,frequency_us_ed,frequency_us_bs,frequency_us_wwi,frequency_us_it,frequency_us_bsii,frequency_us_wwii,frequency_us_post,nameBCenterMatch,nameBWizMatch,nameBehindMatch,nameMatch,soundex
AAMENAH,1,0,17,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A550
AAMINA,1,0,115,0,3,0,0,0,0,0,0,0,0,False,False,True,False,A550
AAMINAH,1,0,146,0,7,0,0,0,0,0,0,0,0,False,False,True,False,A550
AAMIR,0,0,210,0,20,0,0,0,0,0,0,0,0,False,False,True,False,A560
AAMIRA,1,0,9,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A560
AAMIRAH,1,0,42,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A560
AAMNA,1,0,68,0,13,0,0,0,0,0,0,0,0,False,True,False,False,A500
AAMNAH,1,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A500
AANISAH,1,0,38,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A520
AANYA,1,0,8,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A500
AAQIB,0,0,22,0,3,0,0,0,0,0,0,0,0,False,False,False,False,A210
AARAN,0,0,123,0,41,0,0,0,0,0,0,0,0,False,False,False,False,A650
AAREN,0,0,4,0,0,0,0,0,0,0,0,0,0,False,False,True,False,A650
AARIF,0,0,10,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A610
AARIFAH,1,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A610
AARNE,0,0,0,0,0,0,0,0,0,10,0,0,0,False,False,True,False,A650
AARON,0,2,11640,807,2882,1843,1998,1621,1252,11549,1547,2110,7231,False,True,True,True,A650
AARON,1,0,0,0,32,0,0,10,12,75,0,21,62,False,False,False,False,A650
AARON-JAMES,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
AARON-LEE,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
AARONDEEP,0,0,43,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A653
AARONJIT,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A652
AARONVEER,0,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A651
AAROON,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A650
AARRAN,0,0,0,0,8,0,0,0,0,0,0,0,0,False,False,False,False,A650
AARRON,0,0,117,0,63,0,0,0,0,0,0,0,0,False,False,False,False,A650
AARRON,1,0,0,0,3,0,0,0,0,0,0,0,0,False,False,False,False,A650
AARRYN,0,0,0,0,3,0,0,0,0,0,0,0,0,False,False,False,False,A650
AARTHI,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A630
AARTI,1,0,25,0,5,0,0,0,0,0,0,0,0,False,True,False,False,A630
AARUN,0,0,17,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A650
AARYAN,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A650
AARYN,0,0,0,0,4,0,0,0,0,0,0,0,0,False,False,False,False,A650
AARZOO,1,0,10,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A620
AASHA,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A200
AASHIR,0,0,5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A260
AASHISH,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A220
AASHNA,1,0,3,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A250
AASHNI,1,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A250
AASIA,1,0,8,0,5,0,0,0,0,0,0,0,0,False,False,False,False,A200
AASIM,0,0,21,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A250
AASIYA,1,0,21,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A200
AASIYAH,1,0,35,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A200
AASMA,1,0,0,0,5,0,0,0,0,0,0,0,0,False,True,False,False,A250
AATIF,0,0,18,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A310
AATIKA,1,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A320
AATIKAH,1,0,11,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A320
AATIQAH,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A320
AATISH,0,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A320
AAYESHA,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A200
AAYUSH,0,0,11,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A200
AB,0,0,0,0,0,21,0,8,12,18,0,5,6,False,False,False,False,A100
ABA,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A100
ABAAS,0,0,13,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A120
ABAGAEL,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABAGAIL,1,0,21,0,3,0,0,0,0,0,0,0,10,False,True,False,False,A124
ABAIGEAL,1,0,0,0,5,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABANOUB,0,0,3,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A151
ABAS,0,0,13,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A120
ABASS,0,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A120
ABAYOMI,0,0,15,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A150
ABB,0,0,0,0,0,16,5,11,8,51,0,0,5,False,False,False,False,A100
ABBA,1,0,0,0,0,0,0,0,0,6,0,0,0,False,False,False,False,A100
ABBAAS,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A120
ABBAS,0,0,203,0,25,0,0,0,0,0,0,0,0,False,False,True,False,A120
ABBASS,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A120
ABBE,1,0,8,0,7,0,0,0,0,0,0,0,132,False,False,False,False,A100
ABBEE,1,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A100
ABBEIGH,1,0,0,0,3,0,0,0,0,0,0,0,0,False,False,False,False,A120
ABBEY,0,0,0,0,0,0,0,5,0,0,5,0,13,False,False,False,False,A100
ABBEY,1,0,1212,15,205,0,0,0,8,22,7,32,89,False,True,True,True,A100
ABBEY-LOUISE,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBEYGAIL,1,0,33,0,4,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABBEYGALE,1,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABBEYGAYLE,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABBI,1,0,403,7,114,0,0,0,0,0,0,0,0,False,False,True,False,A100
ABBIE,0,0,0,0,0,15,20,33,5,166,17,14,39,False,False,False,False,A100
ABBIE,1,1,5597,117,1082,2174,1081,369,256,1864,176,214,529,False,True,True,True,A100
ABBIE-GAIL,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIE-GAYLE,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIE-JO,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIE-LEE,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIE-LEIGH,1,0,32,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIE-LOUISE,1,0,23,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIE-MAE,1,0,5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIE-MAY,1,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIE-ROSE,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBIEGAIL,1,0,23,0,4,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABBIEGALE,1,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABBIEGAYLE,1,0,3,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A124
ABBIELOUISE,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A142
ABBIGAIL,1,0,203,0,21,0,0,0,0,0,0,0,0,False,True,False,False,A124
ABBIGALE,1,0,28,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A124
ABBIGAYLE,1,0,13,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABBOT,0,0,0,0,0,0,0,6,0,0,0,0,0,False,False,False,False,A130
ABBOTT,0,0,0,0,0,11,26,47,33,207,13,28,67,False,True,False,False,A130
ABBY,0,0,0,0,0,0,0,0,0,10,0,5,23,False,False,False,False,A100
ABBY,1,0,1470,38,507,128,80,38,17,394,93,164,649,False,True,True,True,A100
ABBY-LEIGH,1,0,5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABBYGAIL,1,0,38,0,3,0,0,0,0,0,0,0,0,False,True,False,False,A124
ABBYGALE,1,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABBYGAYLE,1,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABD,0,0,16,0,8,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABDAH,1,0,0,0,3,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABDAL,0,0,10,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDALLA,0,0,9,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDALLAH,0,0,34,0,4,0,0,0,0,0,0,0,0,False,True,False,False,A134
ABDEL,0,0,17,0,6,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDELKARIM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDELRAHMAN,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDI,0,0,53,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABDIAZIZ,0,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A132
ABDIFATAH,0,0,9,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A131
ABDIHAKIM,0,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A132
ABDIKARIM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A132
ABDILLAHI,0,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDIMALIK,0,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A135
ABDINASIR,0,0,13,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A135
ABDIRAHIM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDIRAHMAN,0,0,106,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDIRASHID,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDIRISAQ,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDIRIZAK,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDISHAKUR,0,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A132
ABDIWALI,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDON,0,0,0,0,0,0,0,8,5,39,0,6,5,False,False,False,False,A135
ABDOU,0,0,15,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABDOULIE,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDU,0,0,5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABDUL,0,4,1131,0,142,0,0,0,0,26,22,31,73,False,True,True,True,A134
ABDUL-AZEEZ,0,0,15,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUL-AZIZ,0,0,14,0,0,0,0,0,0,0,0,0,0,False,False,True,False,
ABDUL-HAKEEM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUL-HASEEB,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUL-KAREEM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUL-KARIM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUL-MALIK,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUL-NASIR,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUL-RAHEEM,0,0,9,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUL-RAHMAN,0,0,19,0,0,0,0,0,0,0,0,0,0,False,False,True,False,
ABDUL-SAMAD,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDULAH,0,0,9,0,0,0,0,0,0,0,0,0,0,False,False,True,False,A134
ABDULAHI,0,0,23,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULAZEEZ,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULAZIZ,0,0,34,0,6,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULBASIT,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULHAKIM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULHAMID,0,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULKADIR,0,0,22,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULKARIM,0,0,10,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULLA,0,0,36,0,11,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULLAAH,0,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULLAH,0,0,563,0,49,0,0,0,0,0,0,0,13,False,True,True,True,A134
ABDULLAHI,0,0,94,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULLATIF,0,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULMALIK,0,0,10,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULRAHEEM,0,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULRAHIM,0,0,12,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDULRAHMAN,0,0,77,0,16,0,0,0,0,0,0,0,0,False,True,False,False,A134
ABDULWAHAB,0,0,6,0,3,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABDUR,0,0,56,0,8,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDUR-RAHEEM,0,0,5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUR-RAHIM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUR-RAHMAAN,0,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDUR-RAHMAN,0,0,34,0,0,0,0,0,0,0,0,0,0,False,False,True,False,
ABDUR-REHMAN,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABDURAHMAN,0,0,31,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDURRAHIM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDURRAHMAAN,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDURRAHMAN,0,0,28,0,4,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABDUS,0,0,24,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A132
ABE,0,0,16,0,3,1003,1058,757,536,2460,176,234,477,False,True,True,True,A100
ABED,0,0,3,0,6,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABEDA,1,0,12,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABEED,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABEER,1,0,6,0,4,0,0,0,0,0,0,0,0,False,True,False,False,A160
ABEL,0,0,70,0,0,240,235,177,162,1911,317,428,1535,False,True,True,True,A140
ABELARDO,0,0,0,0,0,0,0,25,22,532,81,107,291,False,True,False,False,A146
ABELINA,1,0,0,0,0,5,0,5,0,129,17,14,35,False,False,False,False,A145
ABELINO,0,0,0,0,0,0,0,12,12,194,18,33,73,False,False,False,False,A145
ABELL,0,0,0,0,0,0,0,0,0,6,0,0,0,False,False,False,False,A140
ABELL,1,0,0,0,0,0,0,0,5,0,0,0,0,False,False,False,False,A140
ABENA,1,0,27,0,0,0,0,0,0,0,0,0,0,False,False,True,False,A150
ABERDEEN,1,0,0,0,0,0,0,0,0,13,0,0,0,False,True,False,False,A163
ABERHAM,0,0,0,0,0,0,0,0,0,5,0,0,0,False,False,False,False,A165
ABERT,0,0,0,0,0,0,0,5,5,5,0,0,0,False,False,False,False,A163
ABHAY,0,0,8,0,0,0,0,0,0,0,0,0,0,False,True,True,True,A100
ABHIJEET,0,0,7,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A123
ABHIJIT,0,0,0,0,4,0,0,0,0,0,0,0,0,False,False,False,False,A123
ABHINAV,0,0,13,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A151
ABHISHEK,0,0,41,0,3,0,0,0,0,0,0,0,0,False,True,False,False,A122
ABI,1,0,167,0,16,0,0,0,0,0,0,0,0,False,True,True,True,A100
ABIBAT,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A113
ABID,0,0,98,0,27,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABIDA,1,0,120,0,8,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABIDAH,1,0,10,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A130
ABIDUL,0,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A134
ABIDUR,0,0,19,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A136
ABIE,0,0,3,0,0,10,18,29,21,250,23,31,54,False,True,False,False,A100
ABIE,1,0,10,0,3,0,0,0,5,5,0,0,0,False,False,False,False,A100
ABIGAEL,1,0,43,0,16,0,0,0,0,0,0,0,0,False,True,False,False,A124
ABIGAIL,1,2,12380,128,1052,275,194,100,67,718,141,220,1055,False,True,True,True,A124
ABIGAILE,1,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABIGALE,1,0,94,0,3,0,0,0,0,0,0,0,0,False,True,False,False,A124
ABIGAYLE,1,0,125,0,17,0,0,0,0,0,0,0,0,False,True,True,True,A124
ABIMBOLA,1,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A151
ABINASH,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A152
ABINAYA,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A150
ABIODUN,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,True,False,A135
ABIOLA,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A140
ABIOLA,1,0,9,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A140
ABIR,0,0,21,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A160
ABIR,1,0,9,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A160
ABIRA,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A160
ABIRAMI,1,0,9,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A165
ABISOLA,1,0,11,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABISOYE,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A120
ABLE,0,0,0,0,0,0,5,0,20,61,0,12,25,False,False,False,False,A140
ABNER,0,0,0,0,0,492,354,265,169,1199,106,127,263,False,True,True,True,A156
ABNEY,0,0,0,0,0,0,5,0,0,0,0,0,0,False,False,False,False,A150
ABRAAR,0,0,13,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A166
ABRAHAM,0,0,227,0,14,1725,2612,2243,1488,8356,609,833,2445,False,True,True,True,A165
ABRAHIM,0,0,9,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A165
ABRAHM,0,0,0,0,0,0,0,0,0,0,0,0,5,False,True,False,False,A165
ABRAM,0,0,3,0,0,427,265,202,116,946,83,142,336,False,True,True,True,A165
ABRAN,0,0,0,0,0,0,0,5,11,171,36,34,80,False,True,False,False,A165
ABRAR,0,0,37,0,7,0,0,0,0,0,0,0,0,False,False,False,False,A166
ABRAR,1,0,7,0,3,0,0,0,0,0,0,0,0,False,False,False,False,A166
ABROM,0,0,0,0,0,0,0,0,0,6,0,0,0,False,False,False,False,A165
ABRON,0,0,0,0,0,5,10,9,11,76,5,0,59,False,False,False,False,A165
ABSAR,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A126
ABU,0,0,188,0,9,0,0,0,0,0,0,0,0,False,False,True,False,A100
ABU-BAKAR,0,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABU-BAKR,0,0,23,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
ABUBAKAR,0,0,60,0,4,0,0,0,0,0,0,0,0,False,False,True,False,A112
ABUBAKARR,0,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A112
ABUBAKER,0,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A112
ABUBAKR,0,0,37,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A112
ABUKAR,0,0,9,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A126
ABUL,0,0,68,0,3,0,0,0,0,0,0,0,0,False,False,False,False,A140
ABUNDIO,0,0,0,0,0,0,0,6,0,76,10,13,46,False,False,False,False,A153
ABY,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A100
ABYAN,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A150
ABYGAIL,1,0,29,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A124
ABYGAYLE,1,0,3,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A124
AC,0,0,0,0,0,0,0,0,7,41,6,14,0,False,False,False,False,A200
ACACIA,1,0,55,0,0,0,0,0,0,0,0,0,0,False,True,True,True,A220
ACCIE,0,0,0,0,0,0,0,0,0,0,0,5,0,False,False,False,False,A200
ACCURSIO,0,0,0,0,0,0,5,0,0,0,0,0,0,False,False,False,False,A262
ACE,0,0,24,0,0,99,63,56,42,388,58,72,182,False,True,True,True,A200
ACEL,0,0,0,0,0,0,11,8,7,37,0,5,0,False,False,False,False,A240
ACELYA,1,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A240
ACENCION,0,0,0,0,0,0,0,0,6,16,0,0,5,False,False,False,False,A252
ACER,0,0,18,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A260
ACEY,0,0,0,0,0,5,10,16,16,132,14,21,44,False,False,False,False,A200
ACHILLE,0,0,0,0,0,0,14,28,32,193,7,8,12,False,True,True,True,A240
ACHILLES,0,0,0,0,0,0,8,15,14,107,5,0,5,False,True,True,True,A242
ACHRAF,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A261
ACHSA,1,0,0,0,0,12,0,0,0,0,0,0,0,False,False,False,False,A200
ACHSAH,1,0,0,0,0,12,11,5,0,20,0,0,0,False,True,False,False,A200
ACIE,0,0,0,0,0,55,128,102,81,664,68,113,206,False,True,False,False,A200
ACIE,1,0,0,0,0,0,0,0,0,23,0,0,0,False,False,False,False,A200
ACIL,0,0,0,0,0,0,0,0,0,12,0,0,0,False,False,False,False,A240
ACQUANETTA,1,0,0,0,0,0,0,0,0,0,0,12,132,False,False,False,False,A253
ACQUANETTE,1,0,0,0,0,0,0,0,0,0,0,0,8,False,False,False,False,A253
ACY,0,0,0,0,0,17,6,21,11,143,14,18,20,False,False,False,False,A200
AD,0,0,0,0,0,5,5,13,7,37,6,0,0,False,False,True,False,A300
ADA,0,0,0,0,0,71,20,21,7,118,6,0,0,False,False,False,False,A300
ADA,1,3,36,0,6,19903,12469,5171,3796,25441,2044,2440,4449,False,True,True,True,A300
ADAAM,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A350
ADABELLE,1,0,0,0,0,5,17,13,22,93,0,0,0,False,True,False,False,A314
ADAEZE,1,0,22,0,0,0,0,0,0,0,0,0,0,False,False,True,False,A320
ADAH,1,0,0,0,0,798,337,172,106,538,23,45,61,False,True,True,True,A300
ADAIR,0,0,3,0,6,0,0,18,16,59,0,5,23,False,True,True,True,A360
ADAIR,1,0,0,0,0,0,0,10,20,170,22,27,117,False,True,False,False,A360
ADAL,0,0,22,0,4,0,0,0,0,0,0,0,0,False,False,False,False,A340
ADALA,1,0,0,0,0,0,0,0,0,5,0,0,0,False,False,False,False,A340
ADALAIDE,1,0,0,0,0,0,0,0,5,19,0,0,0,False,True,False,False,A343
ADALBERT,0,0,0,0,0,0,0,27,8,59,0,0,0,False,False,True,False,A341
ADALBERTO,0,0,0,0,0,0,0,0,9,210,16,43,162,False,True,True,True,A341
ADALEE,1,0,0,0,0,0,0,9,5,55,0,7,0,False,True,False,False,A340
ADALEEN,1,0,0,0,0,0,0,0,0,5,0,0,0,False,False,False,False,A345
ADALENE,1,0,0,0,0,5,24,29,15,162,0,0,0,False,True,False,False,A345
ADALIA,1,0,0,0,0,5,0,0,0,28,7,0,35,False,True,False,False,A340
ADALINA,1,0,0,0,0,0,0,0,0,5,0,0,0,False,True,False,False,A345
